year,genre,book_title,author_name,translator,editor,book_id,author_id,author2_id
2007,Fiction,TREE OF SMOKE,Denis Johnson,,,271074,6468,
2007,Fiction,IMPERIAL LIFE IN THE EMERALD CITY: Inside Iraq's Green Zone,Rajiv Chandrasekaran,,,22121,12623,
2007,Nonfiction,LITTLE HEATHENS: Hard Times and High Spirits on an Iowa Farm During the Great Depression,Mildred Armstrong,,,771858,406306,
2007,Nonfiction,THE NINE: Inside the Secret World of the Supreme Court,Jeffrey Toobin,,,280410,163130,
2007,Nonfiction,THE ORDEAL OF ELIZABETH MARSH: A Woman in World History,Linda Colley,,,382787,93779,
2007,Nonfiction,THE REST IS NOISE: Listening to the Twentieth Century,Alex Ross,,,392563,2870641,
2006,Fiction,ABSURDISTAN,Gary Shteyngart,,,70509,12437,
2006,Fiction,THE COLLECTED STORIES OF AMY HEMPEL,Amy Hempel,,,33299,18710,
2006,Fiction,THE EMPEROR'S CHILDREN,Claire Messud,,,3648,2508,
2006,Fiction,THE LAY OF THE LAND,Richard Ford,,,12372,7849,
2006,Fiction,SPECIAL TOPICS IN CALAMITY PHYSICS,Marisha Pessl,,,3483,2362,
2006,Nonfiction,FALLING THROUGH THE EARTH: A Memoir,Danielle Trussoni,,,76339,43393,
2006,Nonfiction,THE LOOMING TOWER: Al-Qaeda and the Road to 9/11,Lawrence Wright,,,110890,4258,
2006,Nonfiction,"MAYFLOWER: A Story of Courage, Community, and War",Nathaniel Philbrick,,,4820,1641,
2006,Nonfiction,THE OMNIVORE'S DILEMMA: A Natural History of Four Meals,Michael Pollan,,,3109,2121,
2006,Nonfiction,THE PLACES IN BETWEEN,Rory Stewart,,,95643,16203,
2005,Fiction,KAFKA ON THE SHORE,Haruki Murakami,Philip Gabriel,,4929,3354,
2005,Fiction,ON BEAUTY,Zadie Smith,,,3679,2522,
2005,Fiction,PREP,Curtis Sittenfeld,,,9844,6429,
2005,Fiction,SATURDAY,Ian McEwan,,,5015,2408,
2005,Fiction,VERONICA,Mary Gaitskill,,,22259,11214,
2005,Nonfiction,THE ASSASSINS' GATE: America in Iraq,George Packer,,,87119,49986,
2005,Nonfiction,DE KOONING: An American Master,Mark Stevens and Annalyn Swan,,,2557,1746,1745
2005,Nonfiction,THE LOST PAINTING,Jonathan Harr,,,27398,7519,
2005,Nonfiction,POSTWAR: A History of Europe Since 1945,Tony Judt,,,29658,16708,
2005,Nonfiction,THE YEAR OF MAGICAL THINKING,Joan Didion,,,7815,238,
2004,Fiction,GILEAD,Marilynne Robinson,,,68210,7491,
2004,Fiction,THE MASTER,Colm Toibin,,,43691,1351903,
2004,Fiction,THE PLOT AGAINST AMERICA,Philip Roth,,,703,463,
2004,Fiction,RUNAWAY,Alice Munro,,,14280,6410,
2004,Fiction,SNOW,Orhan Pamuk,Maureen Freely,,11691,1728,
2004,Fiction,WAR TRASH,Ha Jin,,,14729,8055,
2004,Nonfiction,ALEXANDER HAMILTON ,Ron Chernow,,,16130,9950,
2004,Nonfiction,CHRONICLES: Volume One,Bob Dylan,,,14318,8898,
2004,Nonfiction,WASHINGTON'S CROSSING,David Hackett Fischer,,,1206073,5062,
2004,Nonfiction,WILL IN THE WORLD: How Shakespeare Became Shakespeare,Stephen Greenblatt,,,25622782,4194881,
2003,,THE BOUNTY: The True Story of the Mutiny on the Bounty,Caroline Alexander,,,335795,59027,
2003,,BRICK LANE,Monica Ali,,,18723,11271,
2003,,DROP CITY,Coraghessan Boyle,,,24724,1064072,
2003,,THE FORTRESS OF SOLITUDE,Jonathan Lethem,,,9799,6404,
2003,,KHRUSHCHEV: The Man and His Era,William Taubman,,,334050,104203,
2003,,THE KNOWN WORLD,Edward P. Jones,,,67,33,
2003,,LIVING TO TELL THE TALE,Gabriel Garcia Marquez,Edith Grossman,,4392,13450,
2003,,"RANDOM FAMILY: Love, Drugs, Trouble, and Coming of Age in the Bronx",Adrian Nicole LeBlanc,,,385255,13929,
2003,,SAMUEL PEPYS: The Unequalled Self,Claire Tomalin,,,333295,18514,
2002,,ANTHONY BLUNT: His Lives,Miranda Carter,,,833266,7499942,
2002,,ATONEMENT,Ian McEwan,,,6867,2408,
2002,,BAD BLOOD,Lorna Sage,,,179684,104668,
2002,,MIDDLESEX,Jeffrey Eugenides,,,2187,1467,
2002,,PARIS 1919: Six Months That Changed the World,Margaret MacMillan,,,26348,6366,
2002,,ROSCOE,William Kennedy,,,765047,26090,
2002,,SEEING IN THE DARK: How Backyard Stargazers Are Probing Deep Space and Guarding Earth From Interplanetary Peril,Timothy Ferris,,,310328,4220886,
2001,,AUSTERLITZ,W. G. Sebald,,,88442,6580622,
2001,,BORROWED FINERY: A Memoir,Paula Fox,,,172050,43740,
2001,,THE CORRECTIONS,Jonathan Franzen,,,3805,2578,
2001,,"HATESHIP, FRIENDSHIP, COURTSHIP, LOVESHIP, MARRIAGE: Stories",Alice Munro,,,111126,6410,
2001,,JOHN ADAMS,David McCullough,,,2203,6281688,
2001,,JOHN HENRY DAYS,Colson Whitehead,,,16276,10029,
2001,,THE METAPHYSICAL CLUB,Louis Menand,,,28202,15874,
2001,,TRUE HISTORY OF THE KELLY GANG,Peter Carey,,,110090,22595,
2001,,UNCLE TUNGSTEN: Memories of a Chemical Boyhood,Oliver Sacks,,,64664,843200,
2000,,BEING DEAD ,Jim Crace,,,92559,13843,
2000,,BEOWULF: A New Verse Translation,Seamus Heaney,,,52357,29574,
2000,,GENOME: The Autobiography of a Species in 23 Chapters,Matt Ridley,,,4591,3151,
2000,,GERTRUDE AND CLAUDIUS,John Updike,,,98160,6878,
2000,,A HEARTBREAKING WORK OF STAGGERING GENIUS,Dave Eggers,,,4953,3371,
2000,,THE HUMAN STAIN,Philip Roth,,,11734,463,
2000,,"ONE PALESTINE, COMPLETE: Jews and Arabs Under the British Mandate",Tom Segev,,,57545,32472,
2000,,RIMBAUD,Graham Robb,,,148190,35444,
2000,,"WAY OUT THERE IN THE BLUE: Reagan, Star Wars and the End of the Cold War",Frances FitzGerald,,,310844,125706,
2000,,WHITE TEETH,Zadie Smith,,,3711,2522,
1999,,"AN AFFAIR OF STATE : The Investigation, Impeachment, and Trial of President Clinton",Richard A. Posner,,,726514,21426,
1999,,CLOSE RANGE: Wyoming Stories,Annie Proulx,,,27999,1262010,
1999,,"COLERIDGE: Darker Reflections, 1804-1834",Richard Holmes,,,451464,31054,
1999,,DISGRACE,J. M. Coetzee,,,6192,4128,
1999,,THE FEELING OF WHAT HAPPENS: Body and Emotion in the Making of Consciousness,Antonio R. Damasio,,,125777,60033,
1999,,THE FIRST WORLD WAR,John Keegan,,,8914,4619485,
1999,,HEADLONG,Michael Frayn,,,132245,57501,
1999,,MORGAN: American Financier,Jean Strouse,,,1325761,162702,
1999,,READING THE HOLOCAUST,Inga Clendinnen,,,48840,27425,
1999,,SECRETS OF THE FLESH: A Life of Colette,Judith Thurman,,,89840,14851,
1999,,A STAR CALLED HENRY,Roddy Doyle,,,42718,10108,
1998,,BIRDS OF AMERICA: Stories,Lorrie Moore,,,19631,11746,
1998,,CLOUDSPLITTER,Russell Banks,,,26931,15128,
1998,,LIFE: A Natural History of the First Four Billion Years of Life on Earth,Richard Fortey,,,373571,213020,
1998,,THE LOVE OF A GOOD WOMAN: Stories,Alice Munro,,,111151,6410,
1998,,THE POISONWOOD BIBLE,Barbara Kingsolver,,,7244,3541,
1998,,PRESTON FALLS,David Gates,,,1040401,68607,
1998,,"TITAN: The Life of John D. Rockefeller, Sr",Ron Chernow,,,16121,9950,
1998,,TO END A WAR,Richard Holbrooke,,,455632,255644,
1998,,"THE UNKNOWN MATISSE: A Life of Henri Matisse: The Early Years, 1869-1908",Hilary Spurling,,,224953,118313,
1998,,VICTOR HUGO,Graham Robb,,,63043,35444,
1998,,WE WISH TO INFORM YOU THAT TOMORROW WE WILL BE KILLED WITH OUR FAMILIES: Stories From Rwanda,Philip Gourevitch,,,11472,7372,
1997,,AMERICAN PASTORAL ,Philip Roth,,,11650,463,
1997,,AMERICAN SCRIPTURE: Making the Declaration of Independence,Pauline Maier,,,200836,117157,
1997,,THE BLUE FLOWER,Penelope Fitzgerald,,,11728,3222,
1997,,HUXLEY: From Devil's Disciple to Evolution's High Priest,Adrian Desmond,,,255021,8479801,
1997,,INTO THIN AIR: A Personal Account of the Mount Everest Disaster,Jon Krakauer,,,1898,1235,
1997,,MASON & DIXON,Thomas Pynchon,,,413,235,
1997,,THE PUTTERMESSER PAPERS,Cynthia Ozick,,,162950,43530,
1997,,TOWARD THE END OF TIME,John Updike,,,205054,6878,
1997,,UNDERWORLD,Don DeLillo,,,11761,233,
1997,,VIRGINIA WOOLF,Hermione Lee,,,18846,11341,
1997,,THE WHOLE SHEBANG: A State-of-the-Universe(s) Report,Timothy Ferris,,,310330,4220886,
1996,,AFTER RAIN,William Trevor,,,493323,16002,
1996,,ANGELA'S ASHES: A Memoir,Frank McCourt,,,252577,3347,
1996,,BAD LAND: An American Romance,Jonathan Raban,,,497183,140886,
1996,,THE COLLECTED STORIES OF MAVIS GALLANT,Mavis Gallant,,,398586,99482,
1996,,"THE LIFE OF NELSON A. ROCKEFELLER: Worlds to Conquer, 1908-1958",Cary Reich,,,391221,212208,
1996,,THE MOOR'S LAST SIGH,Salman Rushdie,,,9865,3299,
1996,,SELECTED STORIES,Alice Munro,,,14281,6410,
1996,,THE SONG OF THE DODO: Island Biogeography in an Age of Extinctions,David Quammen,,,546725,32307,
2017,Fiction,Autumn,Ali Smith,,,28446947,68992,
2017,Fiction,Exit West,Mohsin Hamid,,,30688435,16902,
2017,Fiction,Pachinko,Min Jin Lee,,,29983711,378209,
2017,Fiction,The Power,Naomi Alderman,,,29751398,118226,
2017,Fiction,"Sing, Unburied, Sing",Jesmyn Ward,,,32920226,1676417,
2017,Nonfiction,The Evolution of Beauty: How Darwin̥s Forgotten Theory of Mate Choice Shapes the Animal World �� and Us,Richard O. Prum,,,31624963,16819826,
2017,Nonfiction,Grant,Ron Chernow,,,34237826,9950,
2017,Nonfiction,Locking Up Our Own: Crime and Punishment in Black America,James Forman Jr.,,,34846249,15189032,
2017,Nonfiction,Prairie Fires: The American Dreams of Laura Ingalls Wilder,Caroline Fraser,,,33911349,147216,
2017,Nonfiction,Priestdaddy,Patricia Lockwood,,,31920820,5220577,
2018,Fiction,Asymmetry,Lisa Halliday,,,35297339,6476490,
2018,Fiction,The Great Believers,Rebecca Makkai,,,36739329,3134707,
2018,Fiction,The Perfect Nanny,Leila Slimani,Sam Taylor,,38330854,8555975,
2018,Fiction,There There,Tommy Orange,,,36692478,17205711,
2018,Fiction,Washington Black,Esi Edugyan,,,38140077,245590,
2018,Nonfiction,American Prison: A Reporter's Undercover Journey Into the Business of Punishment,Shane Bauer,,,38561954,7182567,
2018,Nonfiction,Educated: A Memoir,Tara Westover,,,35133922,16121977,
2018,Nonfiction,Frederick Douglass: Prophet of Freedom,David W. Blight,,,38530663,1903,
2018,Nonfiction,How to Change Your Mind,Michael Pollan,,,36613747,2121,
2018,Nonfiction,Small Fry: A Memoir,Lisa Brennan-Jobs,,,39218044,17993806,
